Dance,Figure Name,Step,Man Feet Positions,Man Alignment,Man Amount of Turn,Man Rise and Fall,Man Footwork,Man CBM,Man Sway,Lady Feet Positions,Lady Alignment,Lady Amount of Turn,Lady Rise and Fall,Lady Footwork,Lady CBM,Lady Sway,General Notes
Quickstep,Quarter Turn to R,1,RF fwd,Facing DW,Com to turn R 1/8 between 1-2,Com to rise e/o 1,HT,true,S,LF back,Backing DW,Com to turn R 1/4 between 1-2 Body turns less,Com to rise e/o 1 NFR,TH,true,S,Note. If commenced facing LOD turn 1/4 between 1-2 and 1/8 between 2-3.
Quickstep,Quarter Turn to R,2,LF to side,Backing centre,1/8 between 2-3,Cont to rise on 2 and 3,T,false,R,RF to side,Pointing DC,Nil,Cont to rise on 2 and 3,T,false,L
Quickstep,Quarter Turn to R,3,RF closes to LF,Backing DC,Nil,Up. Lower e/o 4,T,false,R,LF closes to RF,Facing DC,Slight body turn,Nil,T,false,L
Quickstep,Quarter Turn to R,4,LF to side and slightly back,Backing DC,Nil,,TH,false,S,RF diag fwd,Facing DC,Nil,Up. Lower e/o 4,TH,false,S
Quickstep,Natural Turn,1,RF fwd,Facing DW,Com to turn R 1/4 between 1-2,Rise e/o 1,HT,true,S,LF back,Backing DW,Com to turn R 3/8 between 1-2 Body turns less,Rise e/o 1 NFR,TH,true,S,Note. The Heel Pull may be underturned to end facing new LOD.
Quickstep,Natural Turn,2,LF to side,Backing DC,1/8 between 2-3,Up,T,false,R,RF to side,Pointing to LOD,Body completes turn,Up,T,false,L
Quickstep,Natural Turn,3,RF closes to LF,Backing LOD,Nil,Up. Lower e/o 3,TH,false,R,LF closes to RF,Facing LOD,Nil,Up. Lower e/o 3,TH,false,L
Quickstep,Natural Turn,4,LF back,Backing LOD,Com to turn R 3/8 between 4-5,,TH,true,S,RF fwd,Facing LOD,Com to turn R 1/4 between 4-5,,HT,true,S
Quickstep,Natural Turn,5,RF to side small step (Heel Pull),Facing DW of new LOD,,,H IE whole foot,false,S,LF to side,Backing new LOD,,TH,false,S
Quickstep,Natural Turn,6,LF fwd,Facing DW,,,H,true,S,RF back,Backing DW,1/8 between 5-6,,T,true,S
Quickstep,Natural Pivot Turn,1,RF fwd,Facing DW,Com to turn R 1/4 between 1-2,Rise e/o 1,HT,true,S,LF back,Backing DW,Com to turn R 3/8 between 1-2 Body turns less,Rise e/o 1 NFR,TH,true,S,Note. 1/2 is the maximum turn on a pivot. Footwork: Although step 4 is THT the Heel is in contact with the floor.
Quickstep,Natural Pivot Turn,2,LF to side,Backing DC,1/8 between 2-3,Up,T,false,R,RF to side,Pointing to LOD,Body completes turn,Up,T,false,L
Quickstep,Natural Pivot Turn,3,RF closes to LF,Backing LOD,Nil,Up. Lower e/o 3,TH,false,R,LF closes to RF,Facing LOD,Nil,Up. Lower e/o 3,TH,false,L
Quickstep,Natural Pivot Turn,4,LF back (RF held in CBMP),Down LOD toe turned in,Up to 1/2 to R on 4 (Pivot),,THT,true,S,RF fwd,Facing LOD,Up to 1/2 to R on 4 (Pivoting action),,HTH,true,S
Quickstep,Progressive Chasse,1,RF back,Backing DC,Com to turn L 1/4 between 1-2,Com to rise e/o 1 NFR,TH,true,Nil,LF fwd,Facing DC,Com to turn L 1/8 between 1-2,Com to rise e/o 1,HT,true,Nil,Note. If commenced backing LOD turns between 1-2 (Body turns less).
Quickstep,Progressive Chasse,2,LF to side,Pointing DW,Body turns less,Cont to rise on 2 and 3,T,false,Nil,RF to side,Backing wall,1/8 between 2-3 Body turns less,Cont to rise on 2 and 3,T,false,Nil
Quickstep,Progressive Chasse,3,RF closes to LF,Facing DW,Slight body turn,Up. Lower e/o 4,T,false,Nil,LF closes to RF,Backing DW,Nil,Up. Lower e/o 4,T,false,Nil
Quickstep,Progressive Chasse,4,LF to side and slightly fwd,Facing DW,Nil,,TH,false,Nil,RF to side and slightly back,Backing DW,Nil,,TH,false,Nil
Quickstep,Progressive Chasse,5,RF fwd in CBMP OP,Facing DW,Nil,,H,true,Nil,LF back in CBMP,Backing DW,Nil,,T,true,Nil
Quickstep,Chasse Reverse Turn,1,LF fwd,Facing DC,Com to turn L 1/4 between 1-2,Rise e/o 1,HT,true,L,RF back,Backing DC,Com to turn L 3/8 between 1-2 Body turns less,Rise e/o 1 NFR,TH,true,R
Quickstep,Chasse Reverse Turn,2,RF to side,Backing DW,1/8 between 2-3,Up,T,false,L,LF to side,Pointing to LOD,Body completes turn,Up,T,false,R
Quickstep,Chasse Reverse Turn,3,LF closes to RF,Backing LOD,Nil,Up. Lower e/o 3,TH,false,L,RF closes to LF,Facing LOD,Nil,Up. Lower e/o 3,TH,false,R
Quickstep,Forward Lock,1,RF fwd in CBMP OP,Facing DW,Nil,Com to rise e/o 1,HT,true,Nil,LF back in CBMP,Backing DW,Nil,Rise e/o 1 NFR,TH,true,Nil
Quickstep,Forward Lock,2,LF diag fwd,Facing DW,Nil,Cont to rise on 2 and 3,T,false,Nil,RF diag back,Backing DW,Nil,Up,T,false,Nil
Quickstep,Forward Lock,3,RF crosses behind LF,Facing DW,Nil,Up. Lower e/o 4,T,false,Nil,LF closes to RF,Backing DW,Nil,Up. Lower e/o 3,T,false,Nil
Quickstep,Forward Lock,4,LF diag fwd,Facing DW,Nil,,TH,false,Nil,LF back in CBMP,Backing DW,Nil,,TH,false,Nil
Quickstep,Forward Lock,5,RF fwd in CBMP OP,Facing DW,Nil,,H,true,Nil,RF back,Backing DW,Nil,,T,true,Nil
Quickstep,Back Lock,1,LF back in CBMP,Backing DW,Nil,Com to rise e/o 1 NFR,TH,true,Nil,RF fwd in CBMP OP,Facing DW,Nil,Com to rise e/o 1,HT,true,Nil,Note. The Man (but not Lady) may use Foot Rise on step 1.
Quickstep,Back Lock,2,RF back,Backing DW,Nil,Cont to rise on 2 and 3,T,false,Nil,LF diag fwd,Facing DW,Nil,Cont to rise on 2 and 3,T,false,Nil
Quickstep,Back Lock,3,LF crosses in front of RF,Backing DW,Nil,Up. Lower e/o 4,T,false,Nil,RF crosses behind LF,Facing DW,Nil,Up. Lower e/o 4,T,false,Nil
Quickstep,Back Lock,4,RF diag back,Backing DW,Nil,,TH,false,Nil,LF diag fwd,Facing DW,Nil,,TH,false,Nil
Quickstep,Back Lock,5,LF back in CBMP,Backing DW,Nil,,T,true,Nil,RF fwd in CBMP OP,Facing DW,Nil,,H,true,Nil
Quickstep,Tipple Chasse to Right (At Corner),1,LF back,Backing LOD,Com to turn R 1/4 between 1-2,Com to rise e/o 1 NFR,TH,true,Nil,RF fwd in CBMP OP,Facing DW,Com to turn R 1/4 between 1-2,Com to rise e/o 1,HT,true,Nil,Note. Less turn may be made on step 4 to end facing new LOD.
Quickstep,Tipple Chasse to Right (At Corner),2,RF to side,Facing new LOD,Nil,Cont to rise on 2 and 3,T,false,Nil,LF to side,Backing DC,1/8 between 2-3,Cont to rise on 2 and 3,T,false,Nil
Quickstep,Tipple Chasse to Right (At Corner),3,LF closes to RF,Facing LOD,Nil,Up,T,false,Nil,RF closes to LF,Backing LOD,Nil,Up,T,false,Nil
Quickstep,Tipple Chasse to Right (At Corner),4,RF to side and slightly fwd,Facing DW,1/8 between 3-4,Up,T,false,Nil,LF to side and slightly back,Backing DW,1/8 between 3-4,Up,T,false,Nil
Quickstep,Tipple Chasse to Right (At Corner),5,LF diag fwd L side leading,Facing DW,Nil,Up,T,false,Nil,RF back R side leading,Backing DW,Nil,Up,T,false,Nil
